secs,km,alt
769,5.34452,492.2
770,5.3542,493
771,5.3618,493.6
772,5.36916,494.2
773,5.37552,494.5
774,5.38188,494.8
775,5.3837,495.4
776,5.39218,495.5
777,5.40066,495.6
778,5.40914,495.7
779,5.41762,495.8
780,5.4223,496.4
781,5.42906,496.533
782,5.43581,496.667
783,5.44257,496.8
784,5.44621,497.2
785,5.45912,497.6
786,5.46185,498.2
787,5.46858,498.4
788,5.47531,498.6
789,5.48204,498.8
790,5.48877,498.867
791,5.4955,498.933
792,5.50223,499
793,5.51049,499.4
794,5.51874,499.8
795,5.52675,500
796,5.53477,500.2
797,5.54278,500.4
798,5.54919,500.667
799,5.55559,500.933
800,5.562,501.2
801,5.56846,501.6
802,5.57492,502
803,5.58168,502.267
804,5.58843,502.533
805,5.59519,502.8
806,5.60195,503.067
807,5.6087,503.333
808,5.61546,503.6
809,5.62147,504.1
810,5.62748,504.6
811,5.63457,504.933
812,5.64165,505.267
813,5.64874,505.6
814,5.65583,505.733
815,5.66292,505.867
816,5.67381,507
817,5.68061,507.24
818,5.68741,507.48
819,5.69422,507.72
820,5.70102,507.96
821,5.70782,508.2
822,5.71462,508.32
823,5.72142,508.44
824,5.72823,508.56
825,5.73503,508.68
826,5.74183,508.8
827,5.74863,508.88
828,5.75543,508.96
829,5.76224,509.04
830,5.76904,509.12
831,5.77584,509.2
832,5.78264,509.28
833,5.78944,509.36
834,5.79625,509.44
835,5.80305,509.52
836,5.80985,509.6
837,5.81742,509.8
838,5.82499,510
839,5.83256,510.2
840,5.84013,510.4
841,5.84619,510.48
842,5.85225,510.56
843,5.8583,510.64
844,5.86436,510.72
845,5.87042,510.8
846,5.87763,511
847,5.88484,511.2
848,5.89204,511.4
849,5.89925,511.6
850,5.90646,511.65
851,5.91366,511.7
852,5.92087,511.75
853,5.92808,511.8
854,5.93506,511.95
855,5.94205,512.1
856,5.94903,512.25
857,5.95602,512.4
858,5.963,512.4
859,5.96999,512.4
860,5.97697,512.4
861,5.98396,512.4
862,5.99046,512.48
863,5.99696,512.56
864,6.00346,512.64
865,6.00996,512.72
866,6.01646,512.8
867,6.02363,512.8
868,6.03079,512.8
869,6.03796,512.8
870,6.04512,512.8
871,6.05228,512.85
872,6.05945,512.9
873,6.06662,512.95
874,6.07378,513
875,6.08094,513
876,6.08811,513
877,6.09527,513
878,6.10244,513
879,6.10956,513
880,6.11669,513
881,6.12381,513
882,6.12938,513
883,6.13494,513
884,6.14051,513
885,6.14986,513
886,6.16083,513.2
887,6.16641,513.25
888,6.17199,513.3
889,6.17758,513.35
890,6.18316,513.4
891,6.1906,513.4
892,6.19805,513.4
893,6.20549,513.4
894,6.21201,513.467
895,6.21854,513.533
896,6.22506,513.6
897,6.23159,513.667
898,6.23811,513.733
899,6.25009,514.2
900,6.25699,514.35
901,6.26389,514.5
902,6.27078,514.65
903,6.27768,514.8
904,6.28458,514.9
905,6.29148,515
906,6.29838,515.1
907,6.30528,515.2
908,6.31218,515.25
909,6.31907,515.3
910,6.32597,515.35
911,6.33287,515.4
912,6.34014,515.7
913,6.34742,516
914,6.35469,517
915,6.36105,517.6
916,6.36931,518.2
917,6.37524,518.5
918,6.38117,518.8
919,6.38965,519.4
920,6.39701,520
921,6.40168,520.4
922,6.40994,520.8
923,6.41595,521
924,6.42196,521.2
925,6.42753,521.4
926,6.434,522
927,6.44587,522.2
928,6.45071,522.3
929,6.45555,522.4
930,6.46625,522.8
931,6.47055,522.9
932,6.48006,523
933,6.48385,523
934,6.49191,523
935,6.50096,523
936,6.50576,523
937,6.51055,523
938,6.52015,523
939,6.5236,522.8
940,6.53395,522.8
941,6.53913,522.8
942,6.5443,522.8
943,6.55554,522.8
944,6.5612,522.8
945,6.56686,522.8
946,6.57253,522.8
947,6.58383,522.8
948,6.58863,522.6
949,6.59342,522.6
950,6.60339,522.6
951,6.60923,522.6
952,6.61593,522.6
953,6.62256,522.4
954,6.6335,522.2
955,6.63882,522.2
956,6.64415,522.2
957,6.64947,522.1
958,6.6548,522
959,6.66327,522
960,6.67418,521.8
961,6.67798,521.8
962,6.68646,521.8
963,6.6956,522
964,6.69855,522
965,6.70986,522.6
966,6.71439,522.8
967,6.72313,523.4
968,6.729,524
969,6.73505,524.8
970,6.74429,525.2
971,6.7493,525.4
972,6.75542,525.8
973,6.76245,525.933
974,6.76949,526.067
975,6.77652,526.2
976,6.78096,526.4
977,6.79316,526.6
978,6.79649,527
979,6.80206,527.1
980,6.80762,527.2
981,6.82067,527.6
982,6.82588,527.6
983,6.83397,527.4
984,6.83684,527.4
985,6.84528,527.4
986,6.85385,527.4
987,6.85891,527.4
988,6.86653,527.6
989,6.87312,527.65
990,6.87971,527.7
991,6.8863,527.75
992,6.89289,527.8
993,6.90153,527.9
994,6.91016,528
995,6.91519,528.1
996,6.92022,528.2
997,6.92931,528.6
998,6.93712,528.8
999,6.94492,529
1000,6.95028,529.2
1001,6.95564,529.4
1002,6.961,529.6
1003,6.97328,530
1004,6.97728,530.3
1005,6.98127,530.6
1006,6.9939,531.2
1007,7.00063,531.8
1008,7.00652,532.4
1009,7.01326,533
1010,7.02088,534.4
1011,7.02719,534.7
1012,7.0335,535
1013,7.04023,535.16
1014,7.04696,535.32
1015,7.05369,535.48
1016,7.06042,535.64
1017,7.06715,535.8
1018,7.07388,535.84
1019,7.08061,535.88
1020,7.08734,535.92
1021,7.09407,535.96
1022,7.1008,536
1023,7.10754,536.2
1024,7.11428,536.4
1025,7.12102,536.6
1026,7.12776,536.733
1027,7.13449,536.867
1028,7.14123,537
1029,7.14797,537.2
1030,7.1606,538
1031,7.16625,538.133
1032,7.1719,538.267
1033,7.17755,538.4
1034,7.1859,538.6
1035,7.19425,538.8
1036,7.20185,539.2
1037,7.20867,539.32
1038,7.21549,539.44
1039,7.2223,539.56
1040,7.22912,539.68
